dpq1,dpq2,constituency_vote_midterm,likelihood,times5,times8_1,times8_2,times8_3,times8_4,times8_5,times8_6,times8_7,times8_8,times8_9,times8_10,times8_11,times8_12,times8_13,times8_14,times8_15,times8_16,dpg1,dpq16,dpq17,dpq18,dpq19,dpq20,dpq21,dpq50,dpq51,dpq52,dpq53,timesextra1,timesbregret,timese1,timese1a,timese1b,timese1c,timese1d,timese1e,timese1f,timese1g,timese2,timese2a,timese2b,timese2c,timese2d,timese2e,timese2f,timese3,voted2017,pastvote_2017,profile_GOR,voted_ge_2019,pastvote_ge_2019,pastvote_EURef,political_attention_2017,politics_scale_profile_update,newgor,govreg,new_socgrade,socgrade4,ONS_urban,profile_religion,polAttentionpdl,ethnicity_new,parent_1,parent_2,parent_97,parent_98,sexuality,partyid_2017,age,profile_education_level,profile_ethnicity,profile_gender,tprofile_GOR,profile_govregnew,profile_gross_household,profile_gross_personal,profile_household_children,profile_household_size,profile_housing_stat,profile_marital_stat,profile_partyid,profile_partyid_recode,profile_region,profile_religion_stat,profile_socgradenew,profile_socialgrade_cie,profile_socialgrade_old,profile_work_industry,profile_work_organisation,profile_work_responsibility,profile_work_stat,profile_work_type,social_media_omnibus_1,social_media_omnibus_2,social_media_omnibus_3,social_media_omnibus_4,social_media_omnibus_5,social_media_omnibus_6,profile_house_tenure,pastvote_2015_by_region,political_attention,pastvote_2015_recode,profile_education_level_recode,ONS_urban_UK,profile_pcon_2010_new,profile_oslaua,pcon_future_OA21,Vote2019R,Vote2019_combo,InEngland,InEnglandWales,gor,england_regions,countries_gb,Vote2017R,highest_education_gce,highest_education_simple,threeway_attention,Currvote,headvote,othvote,bpcas3,wellsage,respdate,ns,total,bpcagegeneduc_w8,threeway_attention_w8,socgrade4_w8,pvbyregion_w8,EURef_w8,ethnicity_R,W8,W8_GB_NewTurnout
1,9,1,11,1,2,1,1,2,2,2,2,2,1,2,2,2,2,2,2,2,1,7,1,1,1,1,1,1,7,1,1,2,1,1,1,1,2,1,2,4,1,1,2,3,2,3,3,2,4,1,1,7,1,1,2,8,4,4,1,1,1,1,2,8,1,2,1,2,2,1,1,76,19,1,1,7,4,17,16,1,2,8,2,8,8,8,1,1,2,1,17,2,998,5,2,1,2,2,2,2,2,1,7,8,1,2,1,377,17,496,1,1,1,1,3,3,1,1,7,2,2,1,1,5,4,4,4/10/2024,1,1,1,2,1,13,2,1,0.752881751,0.752881751
10,9,10,10,3,1,1,2,2,2,2,1,2,2,2,2,2,2,2,2,2,1,6,6,6,6,6,6,6,6,6,6,3,2,1,1,1,3,3,3,3,1,1,3,4,3,4,3,3,4,1,1,3,1,1,1,9,4,1,4,1,1,1,2,10,1,2,1,2,2,1,1,69,14,1,2,3,1,9,9,1,2,8,1,2,2,8,8,1,2,1,8,2,998,5,3,1,2,2,2,2,2,1,19,10,1,2,1,533,87,543,1,1,1,1,1,1,1,1,5,2,3,9, , ,8,4,4/10/2024,1,1,10,3,1,1,1,1,0.678249355,0.64433688725
2,9,7,11,2,1,2,2,2,2,2,1,2,2,2,2,2,1,2,2,2,1,2,2,2,2,2,2,2,2,2,2,4,2,1,1,3,1,1,1,1,1,1,4,4,4,4,4,4,3,998,998,5,2, ,3,10,2,2,3,1,1,1,98,10,1,2,2,2,2,4,998,21,14,98,2,5,2,98,98,98,98,8,8,8,8,8,8,1,1,2,98,8,998,4,8,2,2,2,2,2,2,98,98,10,998,2,1,436,342,451,7,9,1,1,2,2,1,0,5,2,3,2,2,5,5,1,4/11/2024,1,1,18,3,1,12,3,1,0.89886963,0.8269600596
1,9,1,11,1,2,1,1,2,1,2,2,2,2,2,2,2,2,2,2,2,1,6,6,6,6,6,6,6,6,6,6,2,1,1,2,2,2,2,2,2,2,1,2,3,2,4,3,3,3,1,1,8,1,1,2,7,4,5,2,2,3,1,2,6,1,2,1,2,2,1,1,73,14,1,2,8,5,5,2,1,2,1,1,1,3,8,1,3,4,1,8,6,998,5,1,1,2,2,2,2,2,1,1,6,1,2,1,454,354,187,1,1,1,1,4,4,1,1,5,2,2,1,1,5,8,4,4/11/2024,1,1,10,2,3,19,2,1,0.976937959,0.976937959
10,9,10,11,3,1,2,2,1,2,2,2,2,1,2,2,2,2,2,2,2,1,7,6,7,7,6,6,7,7,6,7,3,2,1,4,4,4,4,1,4,1,1,3,3,3,3,5,5,5,1,99,1,1,99,4,7,4,1,4,1,1,1,16,8,1,2,2,1,2,5,998,77,17,98,1,1,1,17,98,1,2,8,8,8,8,8,8,1,1,1,98,8,998,5,2,2,2,2,2,2,2,98,98,8,998,3,1,324,55,316,7,9,1,1,1,1,1,7,6,3,2,9, , ,4,4,4/10/2024,1,1,1,2,1,6,3,1,0.67979145,0.67979145
10,9,1,5,1,2,2,2,1,2,2,2,2,2,1,1,2,2,2,2,2,1,1,2,2,1,2,1,2,1,6,2,2,2,1,3,3,1,1,1,2,1,1,2,2,1,3,4,2,3,2, ,5,2, ,3,4,8,2,3,1,1,1,11,4,9,2,2,1,2,4,99,30,18,98,1,5,2,11,16,1,2,8,1,8,8,8,8,1,1,1,4,2,998,1,1,2,2,2,2,2,2,4,98,4,998,2,1,122,59,120,7,9,1,1,2,2,1,7,8,2,2,9, , ,2,2,4/11/2024,1,1,6,2,1,12,3,2,0.713962031,0.32128291395
2,9,2,11,2,2,1,2,2,2,2,2,2,1,2,2,1,2,2,2,2,1,2,2,2,2,2,2,2,2,6,2,4,2,1,2,2,2,1,1,1,1,1,4,4,4,4,4,4,4,2, ,4,1,3,3,10,2,2,3,1,1,2,1,8,1,2,2,1,2,1,3,22,16,98,2,4,2,13,7,1,4,8,6,8,8,8,8,1,1,1,1,2,998,1,2,2,2,2,2,2,2,8,98,8,998,3,2,413,451,428,3,3,1,1,2,2,1,7,6,3,2,2,2,5,5,1,4/10/2024,1,1,17,2,1,9,3,1,0.929313087,0.929313087
10,9,10,4,3,1,2,2,2,1,2,2,2,2,2,2,2,2,2,2,2,1,7,7,7,7,7,7,7,7,7,7,5,3,1,4,4,4,4,4,4,4,1,5,5,5,5,5,5,5,998,998,9,2, ,3,4,8,5,2,1,2,1,98,2,9,2,2,1,2,1,998,26,17,98,2,9,5,17,16,1,1,8,6,8,8,8,8,2,3,1,98,8,998,4,1,2,2,2,2,2,2,6,98,2,998,3,1,18,96,18,7,9,1,1,4,4,1,0,6,3,1,9, , ,6,2,4/10/2024,1,1,14,1,2,24,3,2,2.065393148,0.74354153328
2,9,2,11,2,1,2,2,2,2,2,1,2,2,1,2,2,2,2,2,2,1,2,2,2,2,2,2,2,2,2,2,4,2,1,1,2,1,1,1,1,1,1,4,4,4,4,4,4,4,2, ,8,2, ,3,11,1,5,2,1,2,1,98,11,1,2,2,1,2,2,2,21,1,98,1,8,5,2,2,1,5,8,6,8,8,8,8,2,3,2,98,8,998,3,8,2,2,2,2,2,2,8,6,11,99,1,1,344,328,357,7,9,1,1,4,4,1,7,1,1,3,2,2,5,1,1,4/11/2024,1,1,9,3,2,24,3,1,1.628352924,1.49808469008
98,9,98,1,8,2,1,2,2,2,2,1,2,2,2,2,2,1,2,2,2,1,1,1,1,1,1,1,1,1,1,1,2,1,1,2,2,2,2,2,2,2,1,3,3,3,3,3,3,4,2, ,8,2, ,2,1,6,5,2,2,4,1,1,4,1,2,1,2,2,1,1,60,16,1,1,8,5,3,3,1,3,1,2,1,3,2,2,4,5,1,19,2,1,5,1,1,1,2,2,2,2,1,6,4,99,3,1,16,240,16,7,9,1,1,4,4,1,7,6,3,2, , , ,3,3,4/10/2024,1,1,2,2,4,24,2,1,0.856473153,0.12847097295
