dpq1,dpq2,constituency_vote_midterm,likelihood,times5,times8_1,times8_2,times8_3,times8_4,times8_5,times8_6,times8_7,times8_8,times8_9,times8_10,times8_11,times8_12,times8_13,times8_14,times8_15,times8_16,dpg1,dpq16,dpq17,dpq18,dpq19,dpq20,dpq21,dpq50,dpq51,dpq52,dpq53,timesextra1,timesbregret,timese1,timese1a,timese1b,timese1c,timese1d,timese1e,timese1f,timese1g,timese2,timese2a,timese2b,timese2c,timese2d,timese2e,timese2f,timese3,voted2017,pastvote_2017,profile_GOR,voted_ge_2019,pastvote_ge_2019,pastvote_EURef,political_attention_2017,politics_scale_profile_update,newgor,govreg,new_socgrade,socgrade4,ONS_urban,profile_religion,polAttentionpdl,ethnicity_new,parent_1,parent_2,parent_97,parent_98,sexuality,partyid_2017,age,profile_education_level,profile_ethnicity,profile_gender,tprofile_GOR,profile_govregnew,profile_gross_household,profile_gross_personal,profile_household_children,profile_household_size,profile_housing_stat,profile_marital_stat,profile_partyid,profile_partyid_recode,profile_region,profile_religion_stat,profile_socgradenew,profile_socialgrade_cie,profile_socialgrade_old,profile_work_industry,profile_work_organisation,profile_work_responsibility,profile_work_stat,profile_work_type,social_media_omnibus_1,social_media_omnibus_2,social_media_omnibus_3,social_media_omnibus_4,social_media_omnibus_5,social_media_omnibus_6,profile_house_tenure,pastvote_2015_by_region,political_attention,pastvote_2015_recode,profile_education_level_recode,ONS_urban_UK,profile_pcon_2010_new,profile_oslaua,pcon_future_OA21,Vote2019R,Vote2019_combo,InEngland,InEnglandWales,gor,england_regions,countries_gb,Vote2017R,highest_education_gce,highest_education_simple,threeway_attention,Currvote,headvote,othvote,bpcas3,wellsage,respdate,ns,total,bpcagegeneduc_w8,threeway_attention_w8,socgrade4_w8,pvbyregion_w8,EURef_w8,ethnicity_R,W8,W8_GB_NewTurnout
8,5,8,11,2,1,2,2,1,2,2,2,2,2,2,1,2,2,2,2,2,1,2,2,2,2,2,2,2,2,5,2,3,2,1,1,1,1,1,1,1,1,1,2,4,2,4,2,2,3,2, ,8,1,3,3,7,4,5,2,1,2,1,3,3,1,2,1,2,2,1,97,71,11,1,2,8,5,4,4,1,1,8,4,8,8,2,8,2,3,1,20,4,1,5,3,1,2,2,2,2,2,1,6,3,99,2,1,344,328,357,3,3,1,1,4,4,1,7,4,2,1,8,8,4,8,4,4/11/2024,1,1,10,1,2,21,3,1,2.641978385,2.641978385
2,9,2,11,2,1,2,2,1,2,2,2,2,2,2,2,2,2,1,2,2,1,2,2,2,2,2,2,2,2,2,2,4,2,1,3,1,1,1,1,1,1,1,4,4,3,4,4,4,4,1,2,6,1,2,3,11,2,3,2,2,3,1,1,11,5,2,2,1,2,1,2,35,9,98,1,6,3,14,6,1,4,8,6,8,8,8,2,3,4,2,14,2,998,1,7,1,2,2,2,2,2,8,98,11,998,1,1,428,112,440,2,2,1,1,4,4,1,2,3,1,3,2,2,5,2,2,4/10/2024,1,1,7,3,3,20,3,4,2.637113736,2.637113736
4,9,4,11,3,2,2,2,1,2,2,2,2,1,1,2,2,2,2,2,2,1,6,6,6,6,6,6,6,5,6,6,4,2,1,4,4,4,4,4,4,4,1,2,4,2,5,4,4,4,998,998,11,1,4,2,1,8,7,5,1,1,98,98,1,1,2,2,2,2,1,998,32,16,98,1,11,7,98,98,98,98,8,8,8,8,8,8,1,2,1,98,8,998,1,2,2,2,2,2,2,2,98,98,1,998,3,98,596,161,605,6,4, , ,6, ,3,0,6,3,1,4,4,5,2,2,4/11/2024,1,1,5,1,1,34,2,1,2.627114615,2.627114615
9,9,9,1,3,2,2,2,1,2,2,2,2,2,2,1,2,2,1,2,2,1,7,7,7,7,7,7,7,7,7,7,4,2,1,4,4,4,4,4,4,4,1,4,4,4,4,4,4,4,2, ,7,2, ,3,1,8,4,1,1,2,1,1,1,4,2,2,1,2,3,97,38,17,2,1,7,4,17,16,1,1,4,6,6,6,1,2,2,3,1,20,2,3,1,2,2,1,2,2,2,2,2,7,1,1,3,1,147,9,147,7,9,1,1,3,3,1,7,6,3,1,9, , ,2,2,4/10/2024,1,1,5,1,2,18,3,1,2.508951288,0.3763426932
10,9,10,6,3,2,1,1,2,1,2,2,2,2,2,2,2,2,2,2,2,1,7,7,7,7,7,7,7,7,7,7,3,3,1,4,4,4,4,4,4,4,1,3,4,4,4,3,3,4,2, ,7,2, ,3,1,8,4,1,2,3,1,3,3,1,2,2,1,2,1,998,22,5,98,2,7,4,16,15,1,4,8,6,8,8,8,8,3,4,2,98,8,998,1,6,2,2,2,2,2,2,7,98,3,998,1,1,208,17,214,7,9,1,1,3,3,1,7,3,1,1,9, , ,5,1,4/10/2024,1,1,18,1,3,18,3,1,2.478057093,1.28858968836
6,9,6,11,3,2,2,1,1,2,2,2,2,1,2,2,2,2,2,2,2,1,6,6,6,6,6,6,6,6,6,6,4,2,1,2,3,3,3,3,3,3,1,3,4,4,4,3,3,4,99, ,10,1,5,1,6,4,6,3,2,4,1,1,3,1,1,2,2,2,1,5,38,1,1,1,10,6,3,3,2,3,3,2,4,5,8,2,5,6,1,20,6,998,6,2,2,2,2,2,2,2,5,98,3,998,1,1,553,129,558,6,5, ,1,5, ,2,7,1,1,1,6,6,5,2,2,4/11/2024,1,1,7,1,4,28,1,1,2.428851663,2.428851663
2,9,2,11,1,2,2,2,1,2,2,2,2,1,2,1,2,2,2,2,2,1,2,2,7,2,2,2,2,2,7,7,3,2,1,2,2,2,2,1,1,1,1,3,4,3,3,3,3,4,2, ,7,1,2,3,7,2,4,1,2,3,1,2,7,14,2,2,1,2,1,2,28,16,12,1,7,4,9,2,1,2,8,6,8,8,8,8,3,4,1,9,2,998,1,3,1,2,2,2,2,2,7,98,7,998,3,1,260,23,271,2,2,1,1,3,3,1,7,6,3,2,2,2,5,2,2,4/11/2024,1,1,5,2,3,14,3,3,2.400072032,2.400072032
98,9,98,8,8,1,2,2,2,2,2,2,2,2,1,2,2,1,2,2,2,1,7,7,2,2,2,2,2,7,7,7,2,1,1,3,3,4,4,4,3,4,1,2,2,1,2,1,2,3,2, ,7,2, ,4,9,5,4,1,2,3,1,1,8,1,1,2,2,2,1,2,33,9,98,1,7,4,14,12,3,4,8,1,8,8,8,8,3,4,2,20,2,998,1,5,2,2,2,2,2,2,1,98,8,998,1,1,110,33,110,7,9,1,1,3,3,1,7,3,1,2, , , ,2,2,4/11/2024,1,1,7,2,3,18,3,1,2.34739632,1.525807608
10,9,10,6,3,1,1,2,1,2,2,2,2,2,2,2,2,2,2,2,2,1,7,7,7,7,7,7,7,7,7,7,5,3,1,3,3,3,3,3,3,3,1,5,3,3,4,3,3,3,1,1,4,1,1,4,1,5,2,3,1,2,1,2,3,1,2,1,2,2,1,1,66,16,98,2,4,2,9,9,1,1,1,4,8,8,8,8,2,3,1,2,2,998,1,3,2,2,2,2,2,2,1,98,3,998,3,1,134,88,132,1,1,1,1,2,2,1,1,6,3,1,9, , ,8,4,4/11/2024,1,1,10,1,2,7,3,1,2.323321145,1.74249085875
7,9,7,11,8,1,2,2,1,2,2,2,2,2,1,2,2,2,2,2,2,1,2,2,2,2,2,2,2,2,2,2,4,2,1,2,2,1,1,1,1,1,1,4,4,4,4,4,4,4,2, ,3,1,2,3,7,2,1,4,1,2,2,1,7,19,2,2,1,2,3,7,23,18,98,1,3,1,8,5,1,3,8,6,8,8,8,8,2,3,1,98,3,998,8,3,2,2,2,2,2,2,7,98,7,998,2,2,160,68,520,2,2,1,1,1,1,1,7,8,2,2,7,7,5,1,1,4/11/2024,1,1,9,2,2,2,3,5,2.317773055,2.317773055
